#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Function	GO:0019899	Enzyme binding	20	2084	0.48	0.0231	9606.ENSP00000188790,9606.ENSP00000253413,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000291568,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000323867,9606.ENSP00000328088,9606.ENSP00000330074,9606.ENSP00000341625,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270	FAP,ATP6V1E1,COTL1,DNAJC10,CSTB,HSPA9,PA2G4,PRKAG1,PAWR,H1-5,CYB5A,WARS1,RAC1,PCBP2,VDAC1,NDRG1,LAMP2,SOD2,MARCKS,PPP1R18
GO Component	GO:0070062	Extracellular exosome	38	2096	0.75	4.49e-18	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000328484,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,RAB21,ATP5F1B,COTL1,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,H2AZ2,ACO1,H2AC14,IDH2,RPL22,WARS1,RAC1,PCBP2,PTGS1,PSMB5,S100A16,HTRA1,GNG12,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
GO Component	GO:0005615	Extracellular space	39	3247	0.57	3.28e-13	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000328484,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	FAP,PSME2,PYGB,ATP6V1E1,RAB21,ATP5F1B,COTL1,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,H2AZ2,ACO1,H2AC14,IDH2,RPL22,WARS1,RAC1,PCBP2,PTGS1,PSMB5,S100A16,HTRA1,GNG12,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
GO Component	GO:0031982	Vesicle	41	3957	0.51	4.46e-12	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000324422,9606.ENSP00000328484,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,RAB21,ATP5F1B,COTL1,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,H2AZ2,ACO1,ZYX,H2AC14,IDH2,RPL22,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,GNG12,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,DDOST,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
GO Component	GO:0005576	Extracellular region	40	4175	0.48	1.69e-10	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000328484,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	FAP,PSME2,PYGB,ATP6V1E1,RAB21,ATP5F1B,COTL1,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,H2AZ2,ACO1,H2AC14,IDH2,RPL22,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,GNG12,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
GO Component	GO:0005925	Focal adhesion	12	416	0.96	2.30e-06	9606.ENSP00000188790,9606.ENSP00000261263,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000346088,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000367220,9606.ENSP00000431240,9606.ENSP00000478061	FAP,RAB21,ANXA5,HSPA9,ZYX,LASP1,RPL22,RAC1,PCBP2,ACTR2,RPLP2,MARCKS
GO Component	GO:0070161	Anchoring junction	16	1325	0.58	0.00066	9606.ENSP00000188790,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000346088,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000366694,9606.ENSP00000367220,9606.ENSP00000404854,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000478061	FAP,ATP6V1E1,RAB21,ANXA5,HSPA9,ZYX,LASP1,RPL22,RAC1,PCBP2,KCTD12,ACTR2,NDRG1,SEPTIN11,RPLP2,MARCKS
GO Component	GO:0005737	Cytoplasm	55	12056	0.15	0.00091	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000224807,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000282382,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270,9606.ENSP00000499935	FAP,PSME2,PYGB,SFXN3,SPCS1,ATP6V1E1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,TMED7-TICAM2,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,ACO1,PRKAG1,ZYX,LASP1,PAWR,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,HNRNPR,EIF2S2,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,PPP1R18,AK2
GO Component	GO:0043226	Organelle	59	14017	0.12	0.0016	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000224807,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000282382,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270,9606.ENSP00000499501,9606.ENSP00000499935	PSME2,PYGB,SFXN3,SPCS1,ATP6V1E1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,TMED7-TICAM2,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,PAWR,H2AC14,H1-5,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,GNG12,HNRNPR,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,PPP1R18,H3-2,AK2
GO Component	GO:0042582	Azurophil granule	6	154	1.09	0.0019	9606.ENSP00000216962,9606.ENSP00000302886,9606.ENSP00000354468,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000408411	PYGB,PA2G4,CYB5R3,ACTR2,DDOST,LAMP2
