#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0002181	Cytoplasmic translation	12	123	1.16	1.97e-06	9606.ENSP00000253108,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,EIF3H,FAU,EIF3M,RPL36,RPL11
GO Process	GO:0009058	Biosynthetic process	40	2506	0.37	0.0013	9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000246337,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000265052,9606.ENSP00000285930,9606.ENSP00000294785,9606.ENSP00000297679,9606.ENSP00000301587,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000317904,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000347649,9606.ENSP00000348886,9606.ENSP00000350949,9606.ENSP00000353720,9606.ENSP00000355467,9606.ENSP00000360882,9606.ENSP00000363205,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000371362,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000411719,9606.ENSP00000415151,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000464342,9606.ENSP00000471455,9606.ENSP00000475924,9606.ENSP00000478600,9606.ENSP00000496250	TECR,PLOD3,UROD,NDUFA10,PXDN,EIF3G,MRPL15,MGLL,AKR1B1,NCSTN,HSD3B7,ATP5PD,RPL13,RPL38,GYS1,SDSL,RPL27A,P3H4,STOML2,GMPPA,CES1,SCCPDH,COL5A1,NFS1,RRBP1,RPS6,NADK2,RPL13A,RPL23A,MPST,CBFB,EIF3H,FAU,EIF3M,BCAT1,RPL36,CCDC124,POLDIP2,P3H3,RPL11
GO Process	GO:0006412	Translation	14	389	0.72	0.0032	9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,MRPL15,RPL13,RPL38,RPL27A,RRBP1,RPS6,RPL13A,RPL23A,EIF3H,FAU,EIF3M,RPL36,RPL11
GO Process	GO:0006518	Peptide metabolic process	16	547	0.63	0.0050	9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000294785,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000353731,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,MRPL15,NCSTN,RPL13,RPL38,RPL27A,DPP4,RRBP1,RPS6,RPL13A,RPL23A,EIF3H,FAU,EIF3M,RPL36,RPL11
GO Process	GO:1901566	Organonitrogen compound biosynthetic process	26	1338	0.46	0.0050	9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000246337,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000294785,9606.ENSP00000301587,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000348886,9606.ENSP00000363205,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000371362,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000464342,9606.ENSP00000496250	TECR,PLOD3,UROD,NDUFA10,PXDN,EIF3G,MRPL15,NCSTN,ATP5PD,RPL13,RPL38,SDSL,RPL27A,STOML2,NFS1,RRBP1,RPS6,NADK2,RPL13A,RPL23A,EIF3H,FAU,EIF3M,BCAT1,RPL36,RPL11
GO Process	GO:0043603	Cellular amide metabolic process	19	810	0.54	0.0070	9606.ENSP00000215567,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000294785,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000353731,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000377446,9606.ENSP00000389103,9606.ENSP00000419325,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	TECR,EIF3G,MRPL15,NCSTN,RPL13,RPL38,RPL27A,DPP4,RRBP1,RPS6,RPL13A,SUCLG1,RPL23A,SUCLG2,EIF3H,FAU,EIF3M,RPL36,RPL11
GO Process	GO:0043604	Amide biosynthetic process	15	536	0.61	0.0096	9606.ENSP00000215567,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	TECR,EIF3G,MRPL15,RPL13,RPL38,RPL27A,RRBP1,RPS6,RPL13A,RPL23A,EIF3H,FAU,EIF3M,RPL36,RPL11
GO Process	GO:1901576	Organic substance biosynthetic process	36	2438	0.34	0.0096	9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000246337,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000265052,9606.ENSP00000285930,9606.ENSP00000294785,9606.ENSP00000297679,9606.ENSP00000301587,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000317904,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000348886,9606.ENSP00000353720,9606.ENSP00000355467,9606.ENSP00000360882,9606.ENSP00000363205,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000371362,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000415151,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000464342,9606.ENSP00000471455,9606.ENSP00000475924,9606.ENSP00000496250	TECR,PLOD3,UROD,NDUFA10,PXDN,EIF3G,MRPL15,MGLL,AKR1B1,NCSTN,HSD3B7,ATP5PD,RPL13,RPL38,GYS1,SDSL,RPL27A,STOML2,CES1,SCCPDH,COL5A1,NFS1,RRBP1,RPS6,NADK2,RPL13A,RPL23A,CBFB,EIF3H,FAU,EIF3M,BCAT1,RPL36,CCDC124,POLDIP2,RPL11
GO Process	GO:0009987	Cellular process	121	14826	0.08	0.0144	9606.ENSP00000078429,9606.ENSP00000171887,9606.ENSP00000204566,9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000223641,9606.ENSP00000225665,9606.ENSP00000233078,9606.ENSP00000245932,9606.ENSP00000246337,9606.ENSP00000251157,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000254108,9606.ENSP00000256194,9606.ENSP00000256196,9606.ENSP00000260102,9606.ENSP00000260128,9606.ENSP00000261427,9606.ENSP00000261667,9606.ENSP00000265052,9606.ENSP00000269143,9606.ENSP00000270176,9606.ENSP00000285930,9606.ENSP00000288235,9606.ENSP00000289968,9606.ENSP00000293379,9606.ENSP00000294785,9606.ENSP00000296557,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000297679,9606.ENSP00000301587,9606.ENSP00000305988,9606.ENSP00000307889,9606.ENSP00000308610,9606.ENSP00000309830,9606.ENSP00000313854,9606.ENSP00000314615,9606.ENSP00000317904,9606.ENSP00000319096,9606.ENSP00000319992,9606.ENSP00000320084,9606.ENSP00000326261,9606.ENSP00000326804,9606.ENSP00000331201,9606.ENSP00000338727,9606.ENSP00000339587,9606.ENSP00000340836,9606.ENSP00000341117,9606.ENSP00000342374,9606.ENSP00000343635,9606.ENSP00000346015,9606.ENSP00000347649,9606.ENSP00000348099,9606.ENSP00000348886,9606.ENSP00000351646,9606.ENSP00000353720,9606.ENSP00000353731,9606.ENSP00000354201,9606.ENSP00000354677,9606.ENSP00000354876,9606.ENSP00000355467,9606.ENSP00000356056,9606.ENSP00000356584,9606.ENSP00000357113,9606.ENSP00000357709,9606.ENSP00000357873,9606.ENSP00000358272,9606.ENSP00000359504,9606.ENSP00000360184,9606.ENSP00000360882,9606.ENSP00000362299,9606.ENSP00000363205,9606.ENSP00000363809,9606.ENSP00000364721,9606.ENSP00000367038,9606.ENSP00000369071,9606.ENSP00000369424,9606.ENSP00000369757,9606.ENSP00000370010,9606.ENSP00000370588,9606.ENSP00000370839,9606.ENSP00000371362,9606.ENSP00000371388,9606.ENSP00000373706,9606.ENSP00000375730,9606.ENSP00000377195,9606.ENSP00000377446,9606.ENSP00000377470,9606.ENSP00000381461,9606.ENSP00000384126,9606.ENSP00000388996,9606.ENSP00000389103,9606.ENSP00000389168,9606.ENSP00000391942,9606.ENSP00000392043,9606.ENSP00000393316,9606.ENSP00000399229,9606.ENSP00000400175,9606.ENSP00000408005,9606.ENSP00000411719,9606.ENSP00000415151,9606.ENSP00000419088,9606.ENSP00000419325,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000450436,9606.ENSP00000456436,9606.ENSP00000460871,9606.ENSP00000464342,9606.ENSP00000471455,9606.ENSP00000475924,9606.ENSP00000479153,9606.ENSP00000496250,9606.ENSP00000498684,9606.ENSP00000499058,9606.ENSP00000499387	GNA11,TNS1,SPG21,TECR,PLOD3,SEC61B,SLC25A11,DAZAP1,VASP,UROD,DOCK7,NDUFA10,PXDN,EIF3G,FUS,MICAL2,RRAS2,MRPL15,SULF1,UBE2K,KPNA3,MGLL,AFG3L2,SCYL1,AKR1B1,MYO1E,ARHGAP17,ITGA5,NCSTN,ARFIP1,ITGA2,COL1A2,HSD3B7,ATP5PD,ALCAM,RPL13,GPD2,RPL38,CLPTM1L,ARFGAP1,GYS1,RAP2B,TMEM11,CD276,SRRM1,CUL1,HGS,LRRFIP2,GSDME,OSTF1,SDSL,SNRPD2,MEAK7,RPL27A,P3H4,PDLIM7,STOML2,STIP1,CES1,DPP4,UBE2Z,GPX7,MT-CO2,SCCPDH,DYNLT1,TOR1AIP2,IFI16,S100A6,ACADSB,NDUFAF4,GBP1,TM9SF3,COL5A1,ENG,NFS1,SLC39A7,MAPRE1,RRBP1,POSTN,RBBP7,RPS6,TMSB4X,CD99,SGCB,NADK2,SRXN1,DIAPH1,RPL13A,DBN1,SUCLG1,CNP,PPME1,LRRC32,AP1M1,RPL23A,PPP1R12A,NECAP2,ATP2B1,TMX1,MXRA8,RHOA,SLC9A3R2,MPST,CBFB,FAM162A,SUCLG2,EIF3H,FAU,EIF3M,BCAT1,ALDH6A1,CNN2,RSL1D1,RPL36,CCDC124,POLDIP2,EHD1,RPL11,FHL1,DIABLO,SDF4
GO Process	GO:0044249	Cellular biosynthetic process	34	2362	0.33	0.0246	9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000246337,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000265052,9606.ENSP00000285930,9606.ENSP00000297679,9606.ENSP00000301587,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000317904,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000348886,9606.ENSP00000355467,9606.ENSP00000363205,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000371362,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000411719,9606.ENSP00000415151,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000464342,9606.ENSP00000471455,9606.ENSP00000475924,9606.ENSP00000496250	TECR,PLOD3,UROD,NDUFA10,PXDN,EIF3G,MRPL15,MGLL,AKR1B1,HSD3B7,ATP5PD,RPL13,RPL38,GYS1,SDSL,RPL27A,STOML2,SCCPDH,NFS1,RRBP1,RPS6,NADK2,RPL13A,RPL23A,MPST,CBFB,EIF3H,FAU,EIF3M,BCAT1,RPL36,CCDC124,POLDIP2,RPL11
